Track 0: 
Track 1: Piano
Time: 00:03:46.375, Note: 63, Velocity: 90
Time: 00:03:48.375, Note: 63, Velocity: 90
Time: 00:03:48.625, Note: 65, Velocity: 90
Time: 00:03:48.875, Note: 78, Velocity: 90
Time: 00:03:48.875, Note: 66, Velocity: 90
Time: 00:03:49.125, Note: 68, Velocity: 90
Time: 00:03:49.375, Note: 63, Velocity: 90
Time: 00:03:49.625, Note: 65, Velocity: 90
Time: 00:03:49.875, Note: 66, Velocity: 90
Time: 00:03:50.125, Note: 68, Velocity: 90
Time: 00:03:51.375, Note: 70, Velocity: 90
Time: 00:03:51.875, Note: 70, Velocity: 90
Time: 00:03:52.125, Note: 70, Velocity: 90
Time: 00:03:52.375, Note: 70, Velocity: 90
Time: 00:03:53.125, Note: 70, Velocity: 90
Time: 00:03:53.375, Note: 70, Velocity: 90
Time: 00:03:53.750, Note: 70, Velocity: 90
Time: 00:03:54.125, Note: 75, Velocity: 90
Time: 00:03:54.125, Note: 78, Velocity: 90
Time: 00:03:54.875, Note: 82, Velocity: 90
Time: 00:03:54.875, Note: 78, Velocity: 90
Time: 00:03:54.875, Note: 70, Velocity: 90
Time: 00:03:55.750, Note: 63, Velocity: 90
Time: 00:03:56.125, Note: 65, Velocity: 90
Time: 00:03:56.375, Note: 66, Velocity: 90
Time: 00:03:56.625, Note: 63, Velocity: 90
Time: 00:03:57.375, Note: 63, Velocity: 90
Time: 00:03:57.625, Note: 70, Velocity: 90
Time: 00:03:57.875, Note: 80, Velocity: 90
Time: 00:03:57.875, Note: 61, Velocity: 90
Time: 00:03:57.875, Note: 68, Velocity: 90
Time: 00:03:59.125, Note: 68, Velocity: 90
Time: 00:03:59.875, Note: 68, Velocity: 90
Time: 00:03:59.875, Note: 80, Velocity: 90
Time: 00:04:00.375, Note: 68, Velocity: 90
Time: 00:04:00.875, Note: 75, Velocity: 90
Time: 00:04:00.875, Note: 63, Velocity: 90
Time: 00:04:01.125, Note: 63, Velocity: 90
Time: 00:04:01.125, Note: 75, Velocity: 90
Time: 00:04:01.625, Note: 63, Velocity: 90
Time: 00:04:01.625, Note: 75, Velocity: 90
Time: 00:04:02.000, Note: 70, Velocity: 90
Time: 00:04:02.000, Note: 66, Velocity: 90
Time: 00:04:02.125, Note: 78, Velocity: 90
Time: 00:04:02.500, Note: 63, Velocity: 90
Time: 00:04:02.500, Note: 70, Velocity: 90
Time: 00:04:05.500, Note: 61, Velocity: 90
Time: 00:04:07.000, Note: 77, Velocity: 90
Time: 00:04:07.000, Note: 65, Velocity: 90
Time: 00:04:07.000, Note: 73, Velocity: 90
Time: 00:04:07.250, Note: 73, Velocity: 90
Time: 00:04:07.250, Note: 77, Velocity: 90
Time: 00:04:07.250, Note: 65, Velocity: 90
Time: 00:04:07.500, Note: 73, Velocity: 90
Time: 00:04:07.750, Note: 65, Velocity: 90
Time: 00:04:08.250, Note: 66, Velocity: 90
Time: 00:04:08.250, Note: 78, Velocity: 90
Time: 00:04:08.500, Note: 63, Velocity: 90
Time: 00:04:09.375, Note: 78, Velocity: 90
Time: 00:04:09.375, Note: 75, Velocity: 90
Time: 00:04:10.375, Note: 70, Velocity: 90
Time: 00:04:10.375, Note: 78, Velocity: 90
Time: 00:04:10.875, Note: 70, Velocity: 90
Time: 00:04:10.875, Note: 78, Velocity: 90
Time: 00:04:15.125, Note: 63, Velocity: 90
Time: 00:04:15.500, Note: 61, Velocity: 90
Time: 00:04:17.125, Note: 61, Velocity: 90
Time: 00:04:17.625, Note: 66, Velocity: 90
Time: 00:04:17.625, Note: 78, Velocity: 90
Time: 00:04:18.125, Note: 63, Velocity: 90
Time: 00:04:18.375, Note: 65, Velocity: 90
Time: 00:04:18.625, Note: 66, Velocity: 90
Time: 00:04:18.875, Note: 68, Velocity: 90
Time: 00:04:19.125, Note: 63, Velocity: 90
Time: 00:04:19.375, Note: 65, Velocity: 90
Time: 00:04:19.625, Note: 66, Velocity: 90
Time: 00:04:19.875, Note: 68, Velocity: 90
Time: 00:04:20.125, Note: 75, Velocity: 90
Time: 00:04:20.375, Note: 77, Velocity: 90
Time: 00:04:20.625, Note: 78, Velocity: 90
Time: 00:04:20.875, Note: 80, Velocity: 90
Time: 00:04:21.125, Note: 75, Velocity: 90
Time: 00:04:21.375, Note: 77, Velocity: 90
Time: 00:04:21.625, Note: 78, Velocity: 90
Time: 00:04:21.875, Note: 80, Velocity: 90
Time: 00:04:22.125, Note: 87, Velocity: 90
Time: 00:04:22.375, Note: 89, Velocity: 90
Time: 00:04:22.625, Note: 90, Velocity: 90
Time: 00:04:22.875, Note: 92, Velocity: 90
Time: 00:04:23.125, Note: 87, Velocity: 90
Time: 00:04:23.375, Note: 89, Velocity: 90
Time: 00:04:23.625, Note: 90, Velocity: 90
Time: 00:04:23.875, Note: 92, Velocity: 90
Track 2: Piano
Time: 00:00:00.000, Note: 51, Velocity: 90
Time: 00:00:00.500, Note: 58, Velocity: 90
Time: 00:00:01.750, Note: 58, Velocity: 90
Time: 00:00:02.000, Note: 54, Velocity: 90
Time: 00:00:02.500, Note: 58, Velocity: 90
Time: 00:00:04.000, Note: 49, Velocity: 90
Time: 00:00:04.500, Note: 56, Velocity: 90
Time: 00:00:06.000, Note: 46, Velocity: 90
Time: 00:00:06.500, Note: 56, Velocity: 90
Time: 00:00:08.000, Note: 51, Velocity: 90
Time: 00:00:08.500, Note: 58, Velocity: 90
Time: 00:00:09.750, Note: 58, Velocity: 90
Time: 00:00:10.000, Note: 54, Velocity: 90
Time: 00:00:12.000, Note: 49, Velocity: 90
Time: 00:00:12.500, Note: 56, Velocity: 90
Time: 00:00:14.000, Note: 46, Velocity: 90
Time: 00:00:14.500, Note: 56, Velocity: 90
Time: 00:00:16.000, Note: 58, Velocity: 90
Time: 00:00:16.000, Note: 39, Velocity: 90
Time: 00:00:16.250, Note: 58, Velocity: 90
Time: 00:00:16.500, Note: 46, Velocity: 90
Time: 00:00:16.625, Note: 58, Velocity: 90
Time: 00:00:16.875, Note: 51, Velocity: 90
Time: 00:00:17.375, Note: 46, Velocity: 90
Time: 00:00:17.375, Note: 58, Velocity: 90
Time: 00:00:17.625, Note: 56, Velocity: 90
Time: 00:00:17.875, Note: 58, Velocity: 90
Time: 00:00:18.125, Note: 56, Velocity: 90
Time: 00:00:18.375, Note: 51, Velocity: 90
Time: 00:00:18.625, Note: 58, Velocity: 90
Time: 00:00:18.875, Note: 46, Velocity: 90
Time: 00:00:19.375, Note: 39, Velocity: 90
Time: 00:00:19.750, Note: 58, Velocity: 90
Time: 00:00:19.750, Note: 42, Velocity: 90
Time: 00:00:20.250, Note: 58, Velocity: 90
Time: 00:00:20.250, Note: 49, Velocity: 90
Time: 00:00:20.750, Note: 54, Velocity: 90
Time: 00:00:21.250, Note: 49, Velocity: 90
Time: 00:00:22.250, Note: 42, Velocity: 90
Time: 00:00:22.500, Note: 58, Velocity: 90
Time: 00:00:22.750, Note: 49, Velocity: 90
Time: 00:00:22.750, Note: 58, Velocity: 90
Time: 00:00:23.250, Note: 54, Velocity: 90
Time: 00:00:23.750, Note: 37, Velocity: 90
Time: 00:00:24.250, Note: 44, Velocity: 90
Time: 00:00:24.250, Note: 53, Velocity: 90
Time: 00:00:24.750, Note: 51, Velocity: 90
Time: 00:00:25.250, Note: 49, Velocity: 90
Time: 00:00:25.750, Note: 32, Velocity: 90
Time: 00:00:26.250, Note: 44, Velocity: 90
Time: 00:00:26.750, Note: 51, Velocity: 90
Time: 00:00:27.250, Note: 59, Velocity: 90
Time: 00:00:27.750, Note: 39, Velocity: 90
Time: 00:00:28.125, Note: 46, Velocity: 90
Time: 00:00:28.250, Note: 46, Velocity: 90
Time: 00:00:28.625, Note: 51, Velocity: 90
Time: 00:00:29.125, Note: 46, Velocity: 90
Time: 00:00:30.125, Note: 56, Velocity: 90
Time: 00:00:30.375, Note: 58, Velocity: 90
Time: 00:00:30.875, Note: 58, Velocity: 90
Time: 00:00:31.125, Note: 56, Velocity: 90
Time: 00:00:31.625, Note: 39, Velocity: 90
Time: 00:00:31.625, Note: 58, Velocity: 90
Time: 00:00:31.875, Note: 58, Velocity: 90
Time: 00:00:32.125, Note: 46, Velocity: 90
Time: 00:00:32.625, Note: 51, Velocity: 90
Time: 00:00:32.625, Note: 58, Velocity: 90
Time: 00:00:32.875, Note: 58, Velocity: 90
Time: 00:00:33.125, Note: 46, Velocity: 90
Time: 00:00:33.375, Note: 58, Velocity: 90
Time: 00:00:33.625, Note: 58, Velocity: 90
Time: 00:00:34.125, Note: 46, Velocity: 90
Time: 00:00:34.375, Note: 58, Velocity: 90
Time: 00:00:34.625, Note: 51, Velocity: 90
Time: 00:00:35.125, Note: 39, Velocity: 90
Time: 00:00:35.250, Note: 41, Velocity: 90
Time: 00:00:35.500, Note: 42, Velocity: 90
Time: 00:00:35.500, Note: 58, Velocity: 90
Time: 00:00:35.750, Note: 58, Velocity: 90
Time: 00:00:36.000, Note: 49, Velocity: 90
Time: 00:00:36.250, Note: 58, Velocity: 90
Time: 00:00:37.000, Note: 49, Velocity: 90
Time: 00:00:37.500, Note: 58, Velocity: 90
Time: 00:00:37.750, Note: 58, Velocity: 90
Time: 00:00:38.000, Note: 49, Velocity: 90
Time: 00:00:38.250, Note: 58, Velocity: 90
Time: 00:00:38.500, Note: 42, Velocity: 90
Time: 00:00:39.000, Note: 54, Velocity: 90
Time: 00:00:39.500, Note: 56, Velocity: 90
Time: 00:00:39.500, Note: 37, Velocity: 90
Time: 00:00:40.000, Note: 44, Velocity: 90
Time: 00:00:40.000, Note: 53, Velocity: 90
Time: 00:00:40.500, Note: 51, Velocity: 90
Time: 00:00:41.000, Note: 49, Velocity: 90
Time: 00:00:41.500, Note: 32, Velocity: 90
Time: 00:00:42.000, Note: 44, Velocity: 90
Time: 00:00:42.500, Note: 51, Velocity: 90
Time: 00:00:43.000, Note: 54, Velocity: 90
Time: 00:00:43.500, Note: 39, Velocity: 90
Time: 00:00:44.000, Note: 51, Velocity: 90
Time: 00:00:44.500, Note: 58, Velocity: 90
Time: 00:00:45.000, Note: 54, Velocity: 90
